Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Eric Lauer,TOR,3,3,1,4.08,50,2,0,4,,57,55,27,26,9,17,1,2,55,8.67,2.63,3.29,1.40,0.23,0.245,1.25,0.29,0.74,0.34,,4.21,0.26,0.28,550.0599975585938,237.09999999999997,4.159649122807017,237.00,4.157894736842105,6.92,5.68,4.94,4.39,3.93,3.53,3.14,2.74,2.28,4.98,4.74,4.58,4.45,4.33,4.20,4.08,3.94,3.76,Eric Lauer,19316.00,641778.00
Justin Wrobleski,LAD,3,3,1,4.01,41,3,0,1,,56,54,27,25,8,19,1,2,51,8.17,3.10,2.63,1.22,0.21,0.249,1.30,0.29,0.74,0.44,,4.23,0.34,0.43,568.1300048828125,218.6000000000001,3.9035714285714307,219.00,3.9107142857142856,7.08,5.76,4.96,4.37,3.88,3.45,3.04,2.62,2.13,5.00,4.75,4.58,4.44,4.31,4.18,4.05,3.90,3.71,Justin Wrobleski,31204.00,680736.00
Sawyer Gipson-Long,DET,3,3,1,3.84,41,3,0,1,,56,54,26,24,7,15,1,2,51,8.24,2.41,3.42,1.10,0.22,0.248,1.23,0.29,0.73,0.43,,3.83,0.54,0.43,593.0599975585938,242.90000000000006,4.337500000000001,244.00,4.357142857142857,6.87,5.55,4.76,4.17,3.69,3.26,2.87,2.46,1.99,4.91,4.62,4.43,4.26,4.11,3.98,3.83,3.67,3.45,Sawyer Gipson-Long,26048.00,687830.00
Kirby Yates,LAA,3,3,0,3.88,56,0,6,12,,56,47,26,24,7,26,2,2,66,10.60,4.11,2.58,1.17,0.28,0.223,1.29,0.29,0.75,0.37,,3.96,0.35,0.35,532.1900024414062,332.1000000000001,5.930357142857145,315.00,5.63,6.24,5.30,4.72,4.27,3.89,3.55,3.21,2.86,2.43,4.91,4.63,4.43,4.27,4.13,3.99,3.84,3.68,3.46,Kirby Yates,9073.00,489446.00
Huascar Brazobán,NYM,3,3,0,3.94,56,0,0,11,,56,51,27,24,6,24,1,3,53,8.57,3.93,2.18,1.01,0.22,0.240,1.35,0.29,0.73,0.45,,4.14,0.16,0.15,999.00,277.0000000000001,4.946428571428574,271.00,4.839285714285714,6.35,5.42,4.84,4.39,4.00,3.65,3.31,2.96,2.52,4.99,4.72,4.53,4.38,4.24,4.10,3.96,3.81,3.60,Huascar Brazoban,6107.00,623211.00
Jonathan Bowlan,PHI,3,3,0,3.84,56,0,0,10,,56,53,26,24,7,18,1,2,53,8.50,2.87,2.96,1.16,0.22,0.244,1.26,0.29,0.74,0.44,,3.99,0.27,0.42,999.00,276.50000000000006,4.937500000000001,275.00,4.910714285714286,6.22,5.30,4.72,4.28,3.90,3.56,3.22,2.87,2.45,4.86,4.60,4.42,4.27,4.14,4.01,3.87,3.72,3.52,Jonathan Bowlan,24607.00,680742.00
Kyle Nicolas,PIT,3,3,0,4.07,56,0,0,10,,56,52,27,25,6,26,1,3,56,9.03,4.18,2.16,1.02,0.23,0.241,1.39,0.30,0.73,0.41,,4.13,0.16,0.32,999.00,270.4000000000001,4.83,267.00,4.767857142857143,6.50,5.56,4.97,4.51,4.12,3.77,3.42,3.06,2.62,5.12,4.84,4.65,4.50,4.36,4.22,4.08,3.92,3.71,Kyle Nicolas,27775.00,693312.00
Matt Gage,SFG,3,3,0,3.81,56,0,0,10,,56,55,26,24,6,20,2,2,49,7.92,3.24,2.45,0.95,0.20,0.251,1.34,0.30,0.74,0.47,,3.94,0.15,0.22,999.00,269.6000000000001,4.814285714285716,274.00,4.892857142857143,6.24,5.30,4.72,4.27,3.89,3.54,3.21,2.85,2.43,4.92,4.63,4.43,4.27,4.12,3.98,3.84,3.67,3.46,Matt Gage,17381.00,657424.00
Carlos Vargas,SEA,3,3,0,3.83,56,0,0,10,,56,54,26,24,6,20,2,3,46,7.45,3.27,2.28,0.95,0.19,0.252,1.33,0.30,0.73,0.50,,4.08,-0.02,0.07,999.00,263.20000000000005,4.700000000000001,265.00,4.732142857142857,6.27,5.34,4.75,4.31,3.93,3.58,3.24,2.89,2.46,4.92,4.65,4.46,4.30,4.16,4.02,3.88,3.73,3.52,Carlos Vargas,22915.00,672841.00
Grant Anderson,MIL,3,3,0,4.12,56,0,0,10,,56,52,28,26,8,22,2,2,55,8.82,3.55,2.48,1.21,0.23,0.242,1.32,0.29,0.73,0.41,,4.24,0.08,0.14,999.00,258.8000000000001,4.621428571428574,254.00,4.535714285714286,6.55,5.60,5.01,4.55,4.16,3.80,3.45,3.09,2.64,5.17,4.89,4.70,4.54,4.39,4.25,4.11,3.94,3.73,Grant Anderson,20546.00,681982.00
Zack Kelly,BOS,3,3,0,4.23,56,0,0,10,,56,53,28,26,7,25,2,3,55,8.87,3.98,2.23,1.10,0.23,0.246,1.39,0.30,0.72,0.43,,4.21,0.16,0.21,999.00,256.50000000000006,4.580357142857144,255.00,4.553571428571429,6.71,5.75,5.15,4.68,4.29,3.92,3.57,3.19,2.74,5.33,5.04,4.84,4.67,4.52,4.37,4.22,4.05,3.83,Zack Kelly,20349.00,677161.00
Juan Morillo,ARI,3,3,0,4.31,56,0,1,11,,56,55,29,27,6,28,1,2,49,7.83,4.48,1.75,0.91,0.20,0.256,1.49,0.31,0.72,0.49,,4.34,-0.06,0.08,999.00,254.60000000000008,4.546428571428573,259.00,4.63,6.87,5.90,5.28,4.81,4.41,4.04,3.68,3.29,2.83,5.50,5.19,4.97,4.80,4.64,4.48,4.32,4.15,3.91,Juan Morillo,21924.00,666661.00
Lake Bachar,MIA,3,3,0,4.23,56,0,0,10,,56,52,28,26,8,23,2,2,54,8.72,3.64,2.40,1.26,0.22,0.242,1.34,0.29,0.73,0.37,,4.34,0.05,0.20,999.00,253.80000000000013,4.532142857142859,249.00,4.446428571428571,6.67,5.72,5.12,4.65,4.26,3.90,3.55,3.17,2.72,5.28,5.00,4.80,4.64,4.49,4.35,4.21,4.04,3.82,Lake Bachar,19222.00,669199.00
Matt Pushard,STL,3,3,0,4.27,56,0,0,10,,56,55,29,27,7,21,1,2,48,7.64,3.40,2.25,1.20,0.20,0.251,1.36,0.29,0.72,0.40,,4.43,-0.10,-0.02,999.00,252.30000000000007,4.505357142857144,256.00,4.571428571428571,6.76,5.80,5.19,4.72,4.32,3.95,3.59,3.22,2.76,5.40,5.09,4.88,4.71,4.55,4.40,4.24,4.07,3.83,Matt Pushard,sa3019955,690155.00
Tyler Gilbert,CHW,3,3,0,4.20,56,0,0,9,,56,55,28,26,8,20,2,2,49,7.94,3.23,2.45,1.30,0.21,0.251,1.34,0.29,0.74,0.39,,4.45,0.11,0.12,999.00,241.0000000000001,4.303571428571431,244.00,4.357142857142857,6.65,5.70,5.10,4.64,4.24,3.88,3.53,3.16,2.71,5.26,4.97,4.78,4.62,4.48,4.34,4.19,4.03,3.81,Tyler Gilbert,17964.00,656457.00
Ryne Stanek,,3,3,0,4.09,56,0,0,0,,56,49,27,25,7,25,1,2,59,9.51,4.09,2.32,1.20,0.25,0.232,1.34,0.29,0.74,0.34,,4.22,0.21,0.23,999.00,237.90000000000006,4.248214285714287,226.00,4.035714285714286,6.47,5.53,4.94,4.49,4.10,3.75,3.40,3.04,2.60,5.10,4.82,4.63,4.47,4.33,4.20,4.05,3.89,3.68,Ryne Stanek,15947.00,592773.00
