Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Jayvien Sandridge,NYY,1,1,0,4.35,26,0,0,1,,26,24,14,13,3,15,1,1,26,9.07,5.13,1.77,1.21,0.23,0.237,1.48,0.29,0.74,0.40,,4.73,-0.11,-0.10,999.00,101.10,3.8884615384615384,99.00,3.8076923076923075,7.68,6.23,5.36,4.71,4.17,3.70,3.25,2.80,2.27,5.49,5.18,4.97,4.79,4.63,4.48,4.32,4.14,3.91,Jayvien Sandridge,25158.00,682144.00
Tyler Samaniego,BOS,1,1,0,4.40,26,0,0,1,,26,26,14,13,3,11,1,1,22,7.56,3.84,1.97,1.11,0.19,0.260,1.44,0.30,0.72,0.45,,4.47,-0.01,0.00,999.00,99.90,3.8423076923076924,103.00,3.9615384615384617,7.78,6.32,5.44,4.78,4.24,3.76,3.31,2.85,2.31,5.62,5.29,5.06,4.87,4.70,4.54,4.37,4.18,3.93,Tyler Samaniego,sa3017876,701719.00
Jairo Iriarte,CHW,1,1,0,4.53,26,0,0,1,,26,25,14,13,3,13,1,2,23,7.89,4.41,1.79,1.20,0.20,0.252,1.47,0.29,0.72,0.43,,4.76,-0.05,-0.05,999.00,95.50,3.673076923076923,96.00,3.6923076923076925,7.92,6.46,5.58,4.92,4.38,3.89,3.44,2.97,2.42,5.65,5.36,5.16,4.99,4.84,4.69,4.54,4.37,4.14,Jairo Iriarte,26907.00,683568.00
Cam Sanders,PIT,1,1,0,4.66,26,0,0,1,,26,25,14,13,3,15,1,1,24,8.27,5.20,1.59,1.11,0.20,0.249,1.54,0.30,0.72,0.41,,4.79,-0.06,0.00,999.00,94.50,3.6346153846153846,95.00,3.6538461538461537,8.10,6.62,5.73,5.06,4.51,4.02,3.55,3.07,2.51,5.83,5.52,5.30,5.13,4.97,4.81,4.65,4.47,4.23,Cam Sanders,23479.00,676742.00
Cameron Foster,BAL,1,1,0,4.45,26,0,0,1,,26,26,14,13,4,10,1,1,23,7.86,3.46,2.27,1.32,0.20,0.255,1.38,0.29,0.72,0.40,,4.56,-0.05,-0.09,999.00,92.60,3.5615384615384613,95.00,3.6538461538461537,7.80,6.35,5.47,4.81,4.27,3.79,3.34,2.88,2.34,5.59,5.28,5.07,4.89,4.73,4.58,4.42,4.24,4.01,Cameron Foster,sa3020735,671382.00
J.P. France,HOU,1,1,0,4.38,26,0,0,1,,26,26,14,13,4,10,1,1,23,8.07,3.31,2.44,1.28,0.21,0.253,1.36,0.30,0.72,0.40,,4.40,-0.02,-0.06,999.00,92.60,3.5615384615384613,95.00,3.6538461538461537,7.70,6.25,5.38,4.73,4.20,3.72,3.27,2.82,2.29,5.47,5.18,4.97,4.81,4.66,4.51,4.36,4.19,3.96,J.P. France,21212.00,641585.00
Joel Hurtado,LAA,1,1,0,4.61,26,0,0,1,,26,28,14,13,3,10,1,1,18,6.28,3.58,1.75,1.19,0.16,0.270,1.46,0.30,0.71,0.48,,4.80,-0.08,-0.03,999.00,89.70,3.45,98.00,3.769230769230769,8.07,6.60,5.71,5.05,4.50,4.01,3.54,3.06,2.51,5.77,5.47,5.27,5.11,4.95,4.81,4.66,4.48,4.26,Joel Hurtado,sa3019774,805871.00
George Klassen,LAA,1,1,1,4.14,18,2,0,1,,25,24,13,12,3,10,0,1,24,8.66,3.71,2.33,1.16,0.22,0.245,1.35,0.30,0.73,0.44,,4.25,0.17,0.11,999.00,104.69999999999999,4.19,105.00,4.20,8.31,6.25,5.09,4.27,3.63,3.07,2.58,2.10,1.58,5.24,4.95,4.75,4.58,4.44,4.29,4.14,3.98,3.76,George Klassen,sa3023440,691946.00
Gavin Stone,LAD,1,1,1,4.01,18,2,0,1,,25,24,12,11,4,8,0,1,24,8.45,2.71,3.12,1.27,0.22,0.248,1.26,0.29,0.73,0.43,,4.09,0.23,0.22,662.6900024414062,98.40,3.9360000000000004,98.00,3.92,8.09,6.05,4.91,4.11,3.48,2.94,2.47,2.00,1.50,5.05,4.78,4.58,4.43,4.29,4.15,4.01,3.85,3.64,Gavin Stone,27792.00,694813.00
Chase Lee,TOR,1,1,0,3.96,25,0,0,1,,25,24,12,11,3,8,1,1,24,8.58,2.94,2.92,1.14,0.22,0.246,1.28,0.30,0.73,0.43,,3.99,0.09,0.06,999.00,110.69999999999999,4.43,111.00,4.44,7.20,5.77,4.91,4.28,3.77,3.31,2.89,2.46,1.97,5.05,4.75,4.55,4.39,4.24,4.10,3.95,3.78,3.57,Chase Lee,29574.00,695445.00
Jhony Brito,SDP,1,1,0,4.02,24,0,0,1,,24,24,12,11,3,8,1,1,21,7.81,2.95,2.64,1.12,0.20,0.252,1.31,0.29,0.73,0.44,,4.11,0.07,0.02,999.00,97.30000000000001,4.054166666666667,100.00,4.166666666666667,7.35,5.87,4.99,4.35,3.82,3.35,2.92,2.48,1.98,5.13,4.83,4.63,4.46,4.31,4.17,4.02,3.85,3.62,Jhony Brito,25386.00,666745.00
Tyson Neighbors,BAL,1,1,0,4.30,24,0,0,1,,24,23,12,11,3,11,1,1,24,8.97,3.96,2.26,1.22,0.23,0.244,1.38,0.30,0.73,0.40,,4.37,0.00,0.02,999.00,96.90000000000002,4.0375000000000005,97.00,4.041666666666667,7.71,6.20,5.29,4.62,4.07,3.59,3.14,2.68,2.15,5.50,5.16,4.93,4.74,4.56,4.40,4.23,4.04,3.78,Tyson Neighbors,sa3025569,695695.00
Nolan Hoffman,PHI,1,1,0,4.22,24,0,0,1,,24,23,12,11,3,11,1,1,22,8.08,4.07,1.98,1.07,0.21,0.250,1.42,0.30,0.73,0.47,,4.41,-0.01,0.09,999.00,92.90000000000002,3.870833333333334,93.00,3.88,7.65,6.15,5.26,4.59,4.05,3.57,3.12,2.67,2.15,5.37,5.07,4.87,4.70,4.54,4.40,4.24,4.07,3.85,Nolan Hoffman,23381.00,676510.00
Brendan Beck,NYY,1,1,0,4.05,24,0,0,1,,24,23,12,11,4,7,1,1,21,7.96,2.52,3.16,1.33,0.21,0.248,1.25,0.29,0.73,0.40,,4.23,0.06,0.01,999.00,90.60000000000004,3.7750000000000017,90.00,3.75,7.36,5.88,5.00,4.35,3.83,3.36,2.93,2.49,1.99,5.13,4.84,4.63,4.47,4.32,4.17,4.02,3.85,3.63,Brendan Beck,sa3020680,694341.00
Ryan Loutos,SEA,1,1,0,4.26,24,0,0,1,,24,24,12,11,3,10,1,1,20,7.46,3.66,2.04,1.17,0.19,0.253,1.39,0.29,0.73,0.44,,4.50,-0.11,-0.07,999.00,89.30000000000001,3.7208333333333337,92.00,3.8333333333333335,7.69,6.18,5.28,4.62,4.08,3.60,3.15,2.69,2.16,5.39,5.09,4.89,4.72,4.57,4.42,4.27,4.10,3.87,Ryan Loutos,29521.00,702795.00
John Brebbia,COL,1,1,0,4.90,24,0,0,1,,24,25,14,13,4,9,1,1,23,8.55,3.21,2.66,1.53,0.22,0.262,1.40,0.30,0.71,0.35,,4.65,0.05,0.04,999.00,83.40000000000003,3.4750000000000014,88.00,3.6666666666666665,8.43,6.88,5.94,5.24,4.66,4.15,3.66,3.16,2.58,6.00,5.70,5.48,5.31,5.15,5.00,4.84,4.66,4.42,John Brebbia,12777.00,605154.00
Jaden Woods,PIT,1,1,0,4.53,24,0,0,1,,24,24,13,12,3,12,1,1,20,7.35,4.49,1.64,1.12,0.18,0.255,1.49,0.29,0.72,0.41,,4.79,-0.11,-0.01,999.00,83.30000000000001,3.4708333333333337,86.00,3.5833333333333335,8.04,6.51,5.59,4.91,4.34,3.85,3.38,2.90,2.35,5.72,5.40,5.18,5.00,4.83,4.68,4.51,4.33,4.08,Jaden Woods,sa3023064,692243.00
Shane Murphy,CHW,1,1,0,4.16,24,0,0,1,,24,25,12,11,4,6,1,1,18,6.59,2.28,2.90,1.33,0.17,0.262,1.29,0.29,0.73,0.41,,4.45,0.04,0.05,999.00,82.40000000000003,3.433333333333335,87.00,3.63,7.51,6.02,5.14,4.49,3.95,3.48,3.04,2.59,2.08,5.21,4.94,4.75,4.59,4.45,4.31,4.17,4.01,3.79,Shane Murphy,sa3020389,690294.00
Gregory Santos,SFG,1,1,0,3.72,24,0,0,1,,24,23,11,10,2,10,1,1,23,8.59,3.75,2.29,0.80,0.22,0.245,1.36,0.31,0.73,0.52,,3.76,0.07,0.11,999.00,110.20000000000003,4.591666666666668,111.00,4.63,7.01,5.55,4.69,4.07,3.56,3.11,2.70,2.28,1.81,4.89,4.58,4.37,4.20,4.05,3.90,3.74,3.57,3.35,Gregory Santos,21894.00,666619.00
Ryan Johnson,LAA,1,1,0,3.85,24,0,0,1,,24,23,11,10,3,8,1,1,23,8.70,2.99,2.91,1.12,0.23,0.245,1.27,0.30,0.74,0.44,,3.93,0.21,0.16,999.00,103.90000000000002,4.3291666666666675,104.00,4.333333333333333,7.12,5.66,4.79,4.15,3.64,3.18,2.76,2.34,1.86,5.01,4.69,4.47,4.29,4.13,3.97,3.81,3.63,3.40,Ryan Johnson,35325.00,696270.00
Liam Hendriks,,1,1,0,4.07,24,0,0,0,,24,22,12,11,3,9,1,1,25,9.33,3.35,2.78,1.24,0.24,0.237,1.29,0.29,0.73,0.36,,4.09,0.14,0.05,999.00,103.50000000000001,4.312500000000001,101.00,4.208333333333333,7.37,5.89,5.01,4.36,3.83,3.36,2.93,2.49,1.99,5.20,4.88,4.66,4.48,4.32,4.16,4.00,3.82,3.59,Liam Hendriks,3548.00,521230.00
Elmer Rodríguez,NYY,1,1,1,3.87,16,2,0,1,,23,22,11,10,3,9,0,1,21,8.01,3.51,2.28,1.00,0.21,0.248,1.35,0.30,0.74,0.50,,4.07,0.19,0.15,999.00,92.10000000000001,4.004347826086957,92.00,4.00,8.08,5.97,4.80,3.98,3.34,2.81,2.33,1.87,1.39,4.96,4.69,4.50,4.34,4.20,4.07,3.93,3.77,3.56,Elmer Rodriguez,sa3019459,695684.00
Tink Hence,STL,1,1,1,4.09,16,2,0,1,,23,22,11,11,3,9,0,1,21,8.04,3.35,2.40,1.13,0.21,0.248,1.33,0.29,0.73,0.42,,4.20,0.11,0.18,999.00,92.10000000000001,4.004347826086957,92.00,4.00,8.36,6.21,5.01,4.17,3.51,2.96,2.46,1.99,1.48,5.21,4.91,4.70,4.53,4.37,4.23,4.07,3.90,3.67,Tink Hence,sa3014709,693311.00
Randy Dobnak,SEA,1,1,1,4.14,16,2,0,1,,23,24,12,11,3,8,0,1,17,6.69,3.18,2.10,1.05,0.17,0.261,1.38,0.30,0.72,0.50,,4.37,0.01,-0.02,999.00,81.90,3.5608695652173914,87.00,3.782608695652174,8.51,6.35,5.14,4.29,3.62,3.06,2.56,2.07,1.55,5.20,4.95,4.77,4.63,4.49,4.37,4.24,4.09,3.89,Randy Dobnak,23798.00,677976.00
Walbert Urena,LAA,1,1,1,4.66,16,2,0,1,,23,24,13,12,3,12,0,1,17,6.64,4.58,1.45,1.05,0.17,0.267,1.55,0.30,0.71,0.51,,4.86,0.01,0.00,999.00,69.90,3.039130434782609,75.00,3.260869565217391,9.30,7.05,5.78,4.87,4.15,3.54,2.99,2.45,1.86,5.83,5.54,5.35,5.18,5.03,4.88,4.74,4.57,4.34,Walbert Urena,sa3018298,700712.00
Drew Sommers,DET,1,1,0,3.73,23,0,0,1,,23,23,11,10,2,9,1,1,19,7.46,3.54,2.11,0.81,0.19,0.254,1.37,0.30,0.74,0.52,,3.98,0.08,0.08,999.00,97.80000000000003,4.252173913043479,101.00,4.391304347826087,7.07,5.59,4.72,4.08,3.56,3.11,2.69,2.27,1.79,4.88,4.59,4.38,4.22,4.07,3.92,3.78,3.61,3.39,Drew Sommers,32026.00,805427.00
Franco Aleman,CLE,1,1,0,4.01,23,0,0,1,,23,21,11,10,3,10,1,1,23,9.17,3.92,2.34,1.09,0.24,0.238,1.35,0.29,0.73,0.42,,4.12,0.05,0.07,999.00,95.70000000000002,4.160869565217392,93.00,4.043478260869565,7.38,5.86,4.97,4.31,3.78,3.31,2.87,2.43,1.93,5.15,4.84,4.62,4.44,4.28,4.13,3.97,3.80,3.56,Franco Aleman,sa3018178,680916.00
Lazaro Estrada,TOR,1,1,0,4.19,23,0,0,1,,23,22,11,11,4,6,1,1,21,8.24,2.53,3.25,1.41,0.22,0.247,1.25,0.28,0.73,0.35,,4.31,0.00,0.06,999.00,88.80,3.860869565217391,88.00,3.8260869565217392,7.67,6.08,5.14,4.45,3.89,3.40,2.95,2.49,1.97,5.21,4.93,4.74,4.59,4.44,4.31,4.16,4.00,3.79,Lazaro Estrada,24914.00,681751.00
Marco Raya,MIN,1,1,0,4.15,22,0,0,1,,22,21,11,10,2,9,1,1,20,8.15,3.71,2.19,1.02,0.21,0.252,1.39,0.30,0.72,0.46,,4.17,0.06,0.04,999.00,97.60000000000002,4.436363636363637,98.00,4.454545454545454,7.63,6.08,5.15,4.48,3.93,3.44,2.99,2.54,2.02,5.22,4.95,4.76,4.60,4.46,4.32,4.18,4.02,3.81,Marco Raya,sa3014550,694397.00
Sean Guenther,DET,1,1,0,3.80,22,0,0,1,,22,22,10,9,2,7,1,1,18,7.22,2.93,2.46,0.93,0.19,0.256,1.33,0.30,0.73,0.48,,3.97,0.15,0.13,999.00,97.00000000000001,4.41,100.00,4.545454545454546,7.19,5.67,4.77,4.12,3.59,3.13,2.70,2.27,1.79,4.94,4.64,4.44,4.27,4.12,3.97,3.82,3.65,3.43,Sean Guenther,20045.00,674944.00
Rolddy Muñoz,ATL,1,1,0,4.35,22,0,0,1,,22,22,12,11,2,11,1,1,19,7.95,4.35,1.83,1.00,0.20,0.256,1.48,0.31,0.72,0.48,,4.42,-0.06,-0.03,999.00,87.00000000000001,3.954545454545455,90.00,4.090909090909091,7.95,6.37,5.42,4.72,4.16,3.66,3.19,2.71,2.17,5.54,5.23,5.02,4.84,4.68,4.53,4.37,4.19,3.96,Rolddy Munoz,27407.00,691548.00
Eric Cerantola,KCR,1,1,0,4.37,22,0,0,1,,22,21,12,11,3,11,1,1,21,8.40,4.51,1.86,1.07,0.21,0.246,1.45,0.30,0.72,0.42,,4.47,-0.01,-0.02,999.00,81.30000000000001,3.6954545454545458,81.00,3.6818181818181817,7.93,6.35,5.40,4.71,4.14,3.64,3.18,2.70,2.16,5.51,5.21,5.00,4.83,4.67,4.52,4.36,4.19,3.96,Eric Cerantola,sa3017914,672021.00
DJ Herz,WSN,1,1,0,3.48,22,0,0,1,,22,18,9,9,3,9,0,1,26,10.64,3.80,2.80,1.06,0.28,0.216,1.23,0.28,0.76,0.37,,3.69,0.19,0.28,999.00,105.10000000000001,4.777272727272727,97.00,4.409090909090909,6.61,5.15,4.30,3.69,3.19,2.76,2.37,1.98,1.54,4.46,4.19,4.00,3.85,3.71,3.58,3.45,3.30,3.10,DJ Herz,26389.00,687792.00
Ryan Lambert,NYM,1,1,0,3.98,22,0,0,1,,22,19,10,10,3,11,1,1,24,9.85,4.42,2.23,1.13,0.25,0.227,1.35,0.29,0.74,0.37,,4.18,0.04,0.12,999.00,92.50,4.204545454545454,87.00,3.9545454545454546,7.37,5.82,4.90,4.24,3.70,3.23,2.79,2.35,1.86,5.14,4.80,4.58,4.39,4.23,4.07,3.90,3.72,3.47,Ryan Lambert,sa3025613,822038.00
Shane Drohan,BOS,1,1,0,3.97,22,0,0,1,,22,20,10,10,3,9,1,1,22,8.91,3.56,2.50,1.12,0.23,0.242,1.33,0.30,0.74,0.41,,4.08,0.09,0.18,999.00,91.90,4.177272727272728,89.00,4.045454545454546,7.37,5.82,4.92,4.26,3.72,3.25,2.81,2.37,1.88,5.06,4.76,4.56,4.40,4.25,4.10,3.95,3.79,3.57,Shane Drohan,sa3014447,675660.00
Albert Suárez,BAL,1,1,0,4.16,22,0,0,1,,22,22,11,10,3,6,1,1,19,7.83,2.57,3.05,1.23,0.20,0.259,1.31,0.30,0.72,0.42,,4.12,0.04,0.02,999.00,89.70,4.077272727272727,92.00,4.181818181818182,7.62,6.06,5.15,4.47,3.92,3.44,2.99,2.54,2.02,5.18,4.92,4.74,4.59,4.45,4.32,4.19,4.03,3.83,Albert Suarez,6175.00,544150.00
Evan Reifert,TBR,1,1,0,4.02,22,0,0,1,,22,20,11,10,3,11,1,1,23,9.60,4.30,2.23,1.10,0.25,0.236,1.38,0.30,0.74,0.44,,4.15,0.08,0.04,999.00,87.90,3.9954545454545456,85.00,3.8636363636363638,7.47,5.91,5.00,4.32,3.78,3.30,2.86,2.42,1.91,5.20,4.88,4.65,4.47,4.31,4.15,3.99,3.80,3.56,Evan Reifert,sa3014860,682126.00
Jack Neely,CHC,1,1,0,4.36,22,0,0,1,,22,20,11,11,3,10,1,1,21,8.65,4.11,2.10,1.27,0.22,0.241,1.38,0.29,0.73,0.38,,4.56,-0.06,0.05,999.00,86.90,3.95,84.00,3.8181818181818183,7.88,6.30,5.36,4.66,4.10,3.60,3.14,2.67,2.13,5.50,5.18,4.97,4.79,4.63,4.47,4.31,4.13,3.89,Jack Neely,30106.00,680891.00
Nick Anderson,ATH,1,1,0,4.42,22,0,0,1,,22,22,12,11,3,8,1,1,20,8.04,3.47,2.32,1.32,0.21,0.253,1.37,0.29,0.73,0.39,,4.52,0.02,-0.02,999.00,85.70,3.8954545454545455,88.00,4.00,7.97,6.38,5.44,4.74,4.17,3.67,3.20,2.72,2.18,5.56,5.25,5.03,4.86,4.70,4.54,4.38,4.21,3.97,Nick Anderson,18337.00,623433.00
Sammy Peralta,MIL,1,1,0,4.08,22,0,0,1,,22,22,11,10,3,7,1,1,18,7.52,2.98,2.53,1.17,0.19,0.254,1.33,0.29,0.73,0.43,,4.28,0.08,0.05,999.00,84.70,3.85,87.00,3.9545454545454546,7.53,5.98,5.06,4.39,3.85,3.37,2.92,2.48,1.97,5.15,4.87,4.68,4.52,4.38,4.24,4.10,3.94,3.72,Sammy Peralta,25589.00,671111.00
Lyon Richardson,CIN,1,1,0,4.33,22,0,0,1,,22,22,11,11,3,10,1,1,20,8.15,4.06,2.00,1.14,0.21,0.254,1.44,0.30,0.73,0.48,,4.46,0.01,0.11,999.00,79.70,3.622727272727273,82.00,3.727272727272727,7.90,6.33,5.39,4.70,4.13,3.63,3.17,2.70,2.16,5.44,5.16,4.97,4.81,4.66,4.52,4.38,4.21,3.99,Lyon Richardson,24581.00,680689.00
Isaiah Campbell,ARI,1,1,0,4.45,22,0,0,1,,22,24,12,11,3,8,1,1,16,6.63,3.22,2.06,1.03,0.17,0.272,1.43,0.31,0.71,0.48,,4.36,-0.02,-0.03,999.00,72.50,3.2954545454545454,80.00,3.6363636363636362,8.08,6.48,5.53,4.83,4.25,3.75,3.27,2.79,2.24,5.65,5.33,5.12,4.94,4.78,4.63,4.47,4.29,4.05,Isaiah Campbell,25551.00,663462.00
Ben Kudrna,KCR,1,1,1,4.58,14,2,0,1,,21,22,12,11,3,9,0,1,16,6.91,3.80,1.82,1.11,0.17,0.264,1.46,0.30,0.71,0.45,,4.59,0.06,0.02,999.00,67.30,3.2047619047619045,72.00,3.4285714285714284,9.27,6.93,5.62,4.69,3.97,3.35,2.80,2.27,1.70,5.70,5.41,5.21,5.06,4.91,4.76,4.62,4.45,4.22,Ben Kudrna,sa3018253,695667.00
Gavin Hollowell,CHC,1,1,0,4.31,20,0,0,1,,20,19,10,10,3,9,1,1,19,8.55,4.27,2.00,1.18,0.22,0.243,1.40,0.29,0.73,0.41,,4.52,-0.07,0.04,999.00,73.69999999999999,3.6849999999999996,73.00,3.65,7.96,6.30,5.32,4.60,4.02,3.51,3.04,2.57,2.03,5.45,5.14,4.92,4.75,4.59,4.44,4.28,4.11,3.87,Gavin Hollowell,25427.00,668970.00
Danny Young,ATL,1,1,0,3.77,20,0,0,1,,20,19,9,8,2,9,1,1,20,9.21,3.96,2.33,0.89,0.24,0.243,1.37,0.31,0.74,0.49,,3.88,0.07,0.16,999.00,88.00,4.40,88.00,4.40,7.26,5.66,4.73,4.05,3.51,3.04,2.61,2.18,1.70,4.93,4.62,4.41,4.23,4.08,3.93,3.78,3.60,3.38,Danny Young,18439.00,664849.00
Carson Seymour,SFG,1,1,0,3.74,20,0,0,1,,20,20,9,8,2,7,0,1,18,7.92,2.94,2.69,0.89,0.21,0.252,1.30,0.30,0.73,0.51,,3.78,0.05,0.11,999.00,87.40,4.37,90.00,4.50,7.20,5.62,4.70,4.04,3.50,3.03,2.60,2.18,1.70,4.75,4.50,4.34,4.20,4.07,3.95,3.82,3.68,3.49,Carson Seymour,30084.00,693313.00
A.J. Causey,KCR,1,1,0,4.42,20,0,0,1,,20,20,11,10,2,8,1,1,16,7.38,3.50,2.11,1.12,0.19,0.260,1.41,0.30,0.71,0.43,,4.41,0.00,-0.03,999.00,80.40,4.0200000000000005,83.00,4.15,8.14,6.45,5.46,4.73,4.14,3.62,3.14,2.66,2.11,5.66,5.31,5.08,4.88,4.71,4.54,4.37,4.18,3.92,A.J. Causey,sa3028661,822067.00
Thomas White,MIA,1,1,2,4.17,3,3,0,0,,18,17,9,9,2,9,0,1,18,8.62,4.35,1.98,1.10,0.22,0.241,1.41,0.29,0.73,0.43,,4.40,0.18,0.24,999.00,70.40000000000002,3.9111111111111123,70.00,3.888888888888889,7.89,6.17,5.17,4.45,3.86,3.35,2.88,2.41,1.89,5.30,5.00,4.79,4.62,4.47,4.32,4.17,4.00,3.77,Thomas White,sa3023268,806258.00
Noah Schultz,CHW,1,1,1,4.44,3,3,0,0,,18,19,10,9,2,8,0,1,15,7.25,3.96,1.83,1.17,0.18,0.258,1.45,0.30,0.72,0.46,,4.70,0.16,0.12,999.00,62.200000000000024,3.455555555555557,67.00,3.7222222222222223,8.29,6.54,5.51,4.76,4.15,3.62,3.13,2.64,2.08,5.62,5.31,5.10,4.92,4.76,4.61,4.45,4.28,4.04,Noah Schultz,sa3020949,702273.00
Henry Baez,ATH,1,1,1,4.72,3,3,0,0,,18,20,10,10,2,7,0,1,13,6.19,3.46,1.79,1.18,0.16,0.273,1.47,0.30,0.70,0.49,,4.78,0.13,0.14,999.00,58.60000000000002,3.255555555555557,66.00,3.6666666666666665,8.69,6.92,5.87,5.10,4.47,3.92,3.40,2.89,2.30,5.89,5.60,5.40,5.23,5.08,4.93,4.78,4.61,4.38,Henry Baez,sa3016584,692013.00
Jean Cabrera,PHI,1,1,1,4.88,3,3,0,0,,18,20,11,10,3,8,0,1,13,6.32,3.67,1.72,1.36,0.16,0.268,1.47,0.29,0.70,0.45,,5.07,0.07,0.06,999.00,43.30000000000001,2.4055555555555563,50.00,2.7777777777777777,8.88,7.09,6.03,5.25,4.61,4.05,3.53,3.00,2.40,6.03,5.74,5.54,5.37,5.22,5.08,4.92,4.75,4.52,Jean Cabrera,sa3015433,691893.00
Jagger Haynes,SDP,1,1,1,4.97,3,3,0,0,,18,19,11,10,3,10,0,1,14,6.82,4.97,1.37,1.33,0.17,0.260,1.57,0.29,0.72,0.42,,5.34,-0.01,0.00,999.00,41.90000000000001,2.3277777777777784,46.00,2.5555555555555554,8.99,7.19,6.12,5.33,4.69,4.13,3.59,3.06,2.45,6.16,5.85,5.63,5.46,5.30,5.14,4.98,4.80,4.56,Jagger Haynes,sa3020876,695247.00
Nick Burdi,NYM,1,1,0,3.77,18,0,0,1,,18,15,8,8,2,8,0,1,19,9.74,4.19,2.32,1.01,0.25,0.227,1.32,0.29,0.75,0.42,,3.99,0.05,0.12,999.00,84.60000000000002,4.700000000000001,79.00,4.388888888888889,7.34,5.65,4.68,3.99,3.43,2.95,2.51,2.08,1.60,4.89,4.58,4.37,4.20,4.05,3.90,3.74,3.57,3.34,Nick Burdi,16074.00,595897.00
Angel Bastardo,TOR,1,1,0,4.02,18,0,0,1,,18,17,9,8,2,7,0,1,18,8.77,3.57,2.45,1.12,0.23,0.243,1.33,0.29,0.73,0.43,,4.11,0.06,0.01,999.00,80.40000000000002,4.466666666666668,80.00,4.444444444444445,7.85,6.02,4.97,4.22,3.62,3.11,2.64,2.18,1.67,5.16,4.85,4.64,4.46,4.30,4.15,3.99,3.82,3.59,Angel Bastardo,sa3009716,682785.00
Carlos Hernández,CLE,1,1,0,4.12,18,0,0,1,,18,16,9,8,2,8,1,1,18,9.11,3.81,2.39,1.17,0.24,0.237,1.33,0.29,0.73,0.36,,4.18,0.07,0.01,999.00,80.00000000000003,4.444444444444446,77.00,4.277777777777778,7.78,6.06,5.06,4.33,3.75,3.25,2.78,2.32,1.81,5.15,4.87,4.68,4.52,4.38,4.24,4.09,3.93,3.72,Carlos Hernandez,22713.00,672578.00
Brycen Mautz,STL,1,1,0,3.80,18,0,0,1,,18,17,8,8,2,6,0,1,16,7.85,2.93,2.68,1.08,0.21,0.247,1.28,0.29,0.74,0.42,,4.06,0.04,0.13,999.00,79.40000000000002,4.411111111111112,79.00,4.388888888888889,7.37,5.69,4.72,4.03,3.47,2.99,2.55,2.11,1.63,4.82,4.56,4.37,4.23,4.09,3.96,3.82,3.67,3.47,Brycen Mautz,sa3020710,802408.00
Daison Acosta,SDP,1,1,0,4.25,18,0,0,1,,18,16,9,8,2,9,0,1,17,8.71,4.41,1.98,1.18,0.22,0.239,1.40,0.29,0.73,0.40,,4.51,-0.03,0.02,999.00,75.00000000000003,4.166666666666668,72.00,4.00,8.01,6.26,5.24,4.50,3.91,3.39,2.91,2.44,1.90,5.39,5.08,4.86,4.69,4.53,4.38,4.22,4.04,3.81,Daison Acosta,sa944989,670897.00
Alex Hoppe,SEA,1,1,0,4.01,18,0,0,1,,18,17,9,8,2,8,0,1,15,7.60,4.03,1.88,0.97,0.19,0.249,1.41,0.29,0.73,0.49,,4.31,-0.03,-0.05,999.00,71.40000000000002,3.9666666666666677,71.00,3.9444444444444446,7.75,6.03,5.03,4.31,3.73,3.22,2.76,2.30,1.79,5.16,4.87,4.67,4.50,4.35,4.20,4.05,3.88,3.66,Alex Hoppe,sa3020836,695380.00
Trevor Williams,WSN,1,1,0,4.08,18,0,0,1,,18,18,9,8,3,4,0,1,16,7.77,2.17,3.57,1.29,0.20,0.255,1.25,0.29,0.73,0.39,,4.10,0.07,0.06,999.00,70.50000000000001,3.9166666666666674,72.00,4.00,7.73,6.02,5.02,4.30,3.72,3.22,2.76,2.31,1.80,5.05,4.80,4.62,4.48,4.35,4.23,4.09,3.95,3.75,Trevor Williams,16977.00,592866.00
Jose Franco,CIN,1,1,0,4.39,18,0,0,1,,18,17,9,9,3,7,0,1,17,8.49,3.52,2.41,1.38,0.22,0.247,1.35,0.29,0.73,0.40,,4.54,0.01,0.09,999.00,66.10000000000001,3.6722222222222225,65.00,3.611111111111111,8.19,6.43,5.40,4.65,4.04,3.52,3.03,2.54,2.00,5.50,5.20,4.99,4.82,4.67,4.52,4.36,4.19,3.96,Jose Franco,sa3008714,683742.00
Trey Supak,TEX,1,1,0,4.15,18,0,0,1,,18,18,9,8,3,5,0,1,15,7.34,2.35,3.12,1.28,0.19,0.255,1.26,0.29,0.72,0.41,,4.29,0.03,0.02,999.00,65.50000000000001,3.6388888888888897,67.00,3.7222222222222223,7.85,6.13,5.12,4.39,3.81,3.30,2.83,2.37,1.85,5.17,4.91,4.72,4.57,4.43,4.30,4.16,4.01,3.80,Trey Supak,sa828707,657022.00
